time,gpu_utilization
287360.0,0.16
287422.0,0.16
287454.0,0.16
287798.0,0.16
287880.0,0.16
287987.0,0.16
287994.0,0.16
288145.0,0.16
288659.0,0.16
289349.0,0.16
289364.0,0.16
289553.0,0.16
289994.0,0.16
290000.0,0.16
290465.0,0.16
291695.0,0.16
292543.0,0.16
292788.0,0.16
293095.0,0.16
293394.0,0.16
294370.0,0.16
294842.0,0.16
294970.0,0.16
295477.0,0.16
295835.0,0.16
296262.0,0.16
296268.0,0.16
296742.0,0.16
296940.0,0.16
296978.0,0.16
297113.0,0.16
297461.0,0.16
297528.0,0.16
298576.0,0.16
299644.0,0.16
299645.0,0.16
299765.0,0.16
299778.0,0.16
299779.0,0.16
299780.0,0.16
300107.0,0.16
300160.0,0.16
300234.0,0.16
300324.0,0.16
300330.0,0.16
300335.0,0.16
301051.0,0.16
301058.0,0.14
302449.0,0.14
302564.0,0.14
302688.0,0.135
302747.0,0.13
302848.0,0.125
302977.0,0.12
303592.0,0.115
303709.0,0.115
303842.0,0.115
303888.0,0.115
303893.0,0.115
303909.0,0.115
303940.0,0.115
303972.0,0.11
304358.0,0.11
304423.0,0.11
304838.0,0.11
304891.0,0.11
305546.0,0.11
306099.0,0.105
307101.0,0.105
307235.0,0.105
307264.0,0.105
307290.0,0.105
307668.0,0.105
307759.0,0.105
307882.0,0.105
307931.0,0.105
307996.0,0.105
308307.0,0.105
309055.0,0.105
309293.0,0.105
309607.0,0.105
309627.0,0.105
309715.0,0.105
309795.0,0.105
310485.0,0.105
310651.0,0.105
311084.0,0.105
311436.0,0.105
311438.0,0.105
311817.0,0.105
312024.0,0.105
312681.0,0.1
312691.0,0.1
312699.0,0.1
312757.0,0.1
313015.0,0.1
313197.0,0.1
313223.0,0.1
313239.0,0.1
313334.0,0.1
313363.0,0.1
313457.0,0.1
313584.0,0.1
313694.0,0.1
313704.0,0.1
314265.0,0.1
314334.0,0.1
314395.0,0.1
314752.0,0.1
314876.0,0.1
315005.0,0.1
315030.0,0.1
315385.0,0.1
315889.0,0.1
316867.0,0.1
316876.0,0.1
317004.0,0.1
317029.0,0.1
317094.0,0.1
317383.0,0.1
317403.0,0.1
317514.0,0.1
317589.0,0.1
317722.0,0.1
318080.0,0.1
318359.0,0.1
318659.0,0.1
319669.0,0.105
319747.0,0.1
320092.0,0.1
320220.0,0.1
320292.0,0.1
320454.0,0.1
320541.0,0.105
320547.0,0.105
320668.0,0.105
320669.0,0.105
321046.0,0.105
321117.0,0.105
321123.0,0.105
321128.0,0.105
321157.0,0.105
321159.0,0.105
321160.0,0.105
321176.0,0.105
321247.0,0.105
321248.0,0.105
321249.0,0.105
321259.0,0.105
321528.0,0.105
321649.0,0.105
321787.0,0.105
321865.0,0.105
321875.0,0.105
321916.0,0.105
321917.0,0.105
321926.0,0.105
322040.0,0.105
322075.0,0.105
322084.0,0.105
322110.0,0.105
322735.0,0.105
322865.0,0.105
322872.0,0.105
322955.0,0.105
322980.0,0.105
322998.0,0.105
323365.0,0.105
323520.0,0.105
324042.0,0.105
324405.0,0.105
325366.0,0.11
325375.0,0.115
325425.0,0.12
325902.0,0.13
326031.0,0.13
326102.0,0.135
326595.0,0.13
326622.0,0.125
326631.0,0.125
327017.0,0.125
327106.0,0.125
327133.0,0.13
327217.0,0.13
327439.0,0.125
327472.0,0.12
328452.0,0.12
328492.0,0.12
329136.0,0.12
329816.0,0.12
330801.0,0.12
330896.0,0.12
331072.0,0.12
331077.0,0.125
331199.0,0.125
331201.0,0.12
331240.0,0.115
331250.0,0.11
331346.0,0.105
331414.0,0.1
331431.0,0.095
331476.0,0.09
331504.0,0.09
332096.0,0.09
332223.0,0.09
332497.0,0.09
332527.0,0.09
332587.0,0.09
333258.0,0.09
334251.0,0.09
334318.0,0.09
334828.0,0.085
334895.0,0.08
336058.0,0.08
336256.0,0.085
336771.0,0.085
336871.0,0.085
336930.0,0.085
336931.0,0.09
336932.0,0.105
336945.0,0.11
336989.0,0.11
337109.0,0.13
337156.0,0.13
337400.0,0.125
337555.0,0.12
338005.0,0.12
339376.0,0.12
340802.0,0.12
341707.0,0.12
341968.0,0.12
342454.0,0.12
342514.0,0.13
342600.0,0.155
342668.0,0.15
342723.0,0.15
342791.0,0.15
342814.0,0.145
342851.0,0.14
342881.0,0.135
342997.0,0.13
343701.0,0.13
343991.0,0.13
344075.0,0.125
344700.0,0.125
345436.0,0.13
346204.0,0.13
347984.0,0.13
348091.0,0.135
348364.0,0.13
348418.0,0.125
348487.0,0.12
348660.0,0.115
348755.0,0.11
350575.0,0.11
351092.0,0.11
352171.0,0.115
352295.0,0.115
353263.0,0.11
353518.0,0.11
353545.0,0.12
353574.0,0.115
353948.0,0.11
353974.0,0.11
354167.0,0.11
354168.0,0.115
354614.0,0.12
355459.0,0.12
355586.0,0.12
357767.0,0.115
359030.0,0.115
359085.0,0.115
359695.0,0.115
360406.0,0.115
360833.0,0.115
360857.0,0.115
360866.0,0.115
361857.0,0.115
361861.0,0.115
362375.0,0.115
363445.0,0.115
363670.0,0.115
363707.0,0.115
363886.0,0.115
364126.0,0.115
364553.0,0.115
364554.0,0.12
364599.0,0.125
364600.0,0.12
364601.0,0.11
364602.0,0.105
364988.0,0.105
365069.0,0.105
365114.0,0.105
366163.0,0.105
366187.0,0.105
367354.0,0.105
367411.0,0.105
369033.0,0.1
369820.0,0.1
369821.0,0.1
370209.0,0.1
370258.0,0.095
370352.0,0.095
370360.0,0.095
370364.0,0.095
370366.0,0.09
370502.0,0.085
370515.0,0.085
370566.0,0.085
370569.0,0.085
370627.0,0.085
370689.0,0.085
370763.0,0.085
370924.0,0.085
370967.0,0.085
371004.0,0.085
371019.0,0.085
371085.0,0.085
371350.0,0.085
371534.0,0.085
371585.0,0.085
372010.0,0.085
372101.0,0.085
372584.0,0.085
373540.0,0.085
374171.0,0.085
375260.0,0.085
375301.0,0.085
375306.0,0.085
375380.0,0.085
375409.0,0.085
375704.0,0.08
375775.0,0.075
375829.0,0.075
375861.0,0.075
375872.0,0.075
375970.0,0.075
376265.0,0.075
376549.0,0.075
376588.0,0.075
377333.0,0.075
377360.0,0.075
377958.0,0.075
378006.0,0.075
378582.0,0.075
378984.0,0.075
380132.0,0.075
380700.0,0.075
380712.0,0.075
380761.0,0.075
381092.0,0.075
381181.0,0.075
381269.0,0.075
381487.0,0.075
381542.0,0.08
381553.0,0.075
381563.0,0.075
381835.0,0.075
382027.0,0.075
382094.0,0.075
382301.0,0.075
382485.0,0.07
383841.0,0.07
384101.0,0.07
385174.0,0.07
385175.0,0.08
385279.0,0.09
385329.0,0.09
385359.0,0.09
385452.0,0.09
385508.0,0.09
385545.0,0.09
385572.0,0.09
385742.0,0.09
385780.0,0.09
385838.0,0.09
385935.0,0.09
385962.0,0.09
385967.0,0.09
386354.0,0.09
386612.0,0.09
386703.0,0.09
386860.0,0.09
386883.0,0.09
387030.0,0.115
387105.0,0.115
387111.0,0.11
387120.0,0.105
387148.0,0.105
387403.0,0.1
387420.0,0.095
388167.0,0.095
388196.0,0.095
388448.0,0.095
388527.0,0.095
389748.0,0.095
389774.0,0.095
