id,submit_time,cpu,gpu,duration
instance_8080,206120.0,64.0,0,78225.0
instance_8081,206160.0,64.0,0,756.0
instance_8082,206449.0,64.0,0,78925.0
instance_8083,207140.0,64.0,0,78470.0
instance_8085,207473.0,192.0,0,10126.0
instance_8086,207436.0,64.0,0,2033.0
instance_8088,208955.0,64.0,0,7931.0
instance_8089,208955.0,64.0,0,94954.0
instance_8090,209374.0,12.0,1,1147.0
instance_8091,209374.0,12.0,1,1147.0
instance_8092,209568.0,64.0,0,5067.0
instance_8093,209645.0,64.0,0,98114.0
instance_8095,219420.0,12.0,1,22726.00000000003
instance_8096,210554.0,8.0,1,176476.0
instance_8098,218023.0,12.0,1,23754.00000000003
instance_8105,210559.0,8.0,1,120917.0
instance_8109,210559.0,8.0,1,3666.0
instance_8110,210559.0,8.0,1,120642.0
instance_8111,210559.0,8.0,1,120681.0
instance_8112,210559.0,8.0,1,120691.0
instance_8113,210559.0,8.0,1,120872.0
instance_8114,210559.0,8.0,1,120855.0
instance_8115,210547.0,8.0,1,176573.0
instance_8116,210547.0,8.0,1,176564.0
instance_8121,210788.0,48.0,0,103546.0
instance_8122,210788.0,64.0,0,262923.00000000006
instance_8125,210979.0,64.0,0,6669.0
instance_8126,212627.0,48.0,0,131.0
instance_8127,211575.0,96.0,0,199999.0
instance_8129,211688.0,96.0,0,107981.0
instance_8130,211869.0,96.0,0,7958.0
instance_8133,212355.0,8.0,1,295.0
instance_8134,212365.0,8.0,1,284.0
instance_8135,212365.0,8.0,1,1810.0
instance_8136,212355.0,8.0,1,288.0
instance_8137,218694.0,48.0,0,109798.0
instance_8138,212327.0,12.0,1,321.0
instance_8139,212327.0,12.0,1,409.0
instance_8140,212418.0,64.0,0,73052.0
instance_8142,212528.0,64.0,0,14947.0
instance_8143,212560.0,48.0,0,103329.0
instance_8145,212900.0,48.0,0,6920.0
instance_8146,213830.0,48.0,0,108.0
instance_8147,213117.0,8.0,1,87941.0
instance_8148,213122.0,8.0,1,514.0
instance_8149,213092.0,8.0,1,8169.0
instance_8153,213489.0,64.0,0,6325.0
instance_8154,213489.0,64.0,0,67662.0
instance_8155,213489.0,64.0,0,70777.0
instance_8162,213490.0,96.0,0,9976.0
instance_8163,213505.0,96.0,0,6120.0
instance_8164,213493.0,96.0,0,259980.00000000006
instance_8167,213977.0,12.0,1,2708.0
instance_8168,213977.0,12.0,1,2708.0
instance_8169,213977.0,12.0,1,2708.0
instance_8170,214037.0,8.0,1,3652.0
instance_8172,214037.0,8.0,1,3543.0
instance_8173,214037.0,8.0,1,3597.0
instance_8174,214037.0,8.0,1,3606.0
instance_8175,214036.0,8.0,1,3630.0
instance_8176,214037.0,8.0,1,98644.0
instance_8178,214098.0,64.0,0,80272.0
instance_8179,214158.0,64.0,0,15349.0
instance_8180,214557.0,64.0,0,4953.0
